"COLLAR_CODE,C,8","LINE_NO,N,6,0","UTC_DATE,D","UTC_TIME,C,8","LMT_DATE,D","LMT_TIME,C,8","ECEF_X,N,9,0","ECEF_Y,N,9,0","ECEF_Z,N,9,0","LATITUDE,N,12,7","LONGITUDE,N,12,7","HEIGHT,N,9,2","DOP,N,4,1","NAV,C,2","VALIDATED,C,3","SATS_USED,N,2,0","CH1_SATID,N,2,0","CH1_C/N,N,2,0","CH2_SATID,N,2,0","CH2_C/N,N,2,0","CH3_SATID,N,2,0","CH3_C/N,N,2,0","CH4_SATID,N,2,0","CH4_C/N,N,2,0","CH5_SATID,N,2,0","CH5_C/N,N,2,0","CH6_SATID,N,2,0","CH6_C/N,N,2,0","CH7_SATID,N,2,0","CH7_C/N,N,2,0","CH8_SATID,N,2,0","CH8_C/N,N,2,0","CH9_SATID,N,2,0","CH9_C/N,N,2,0","CH10_SATID,N,2,0","CH10_C/N,N,2,0","CH11_SATID,N,2,0","CH11_C/N,N,2,0","CH12_SATID,N,2,0","CH12_C/N,N,2,0","MAIN_VOL,N,4,2","BU_VOL,N,4,2","TEMP,N,4,0","EASTING,N,20,0","NORTHING,N,20,0","REMARKS,C,128"
GSM02927,1,01/01/2000,00:00:00,01/01/2000,01:00:00,,,,,,,0,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.04,5.04,152,,,
GSM02927,2,01/01/2000,00:00:00,01/01/2000,01:00:00,,,,,,,0,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-103,,,
GSM02927,3,02/11/2006,10:00:49,02/11/2006,11:00:49,3789061,911457,5032232,-2.5693677,36.5255028,88.49,1.4,3D,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.52,3.6,25,1807643,5818607,
GSM02927,4,02/11/2006,11:00:19,02/11/2006,12:00:19,3789060,911454,5032230,-2.5693667,36.5254633,85.88,2.4,3D,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.52,3.6,23,1807640,5818607,
GSM02927,5,02/11/2006,12:00:30,02/11/2006,13:00:30,3789043,911456,5032235,-2.5692249,36.5255504,80.05,2.2,3D,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.52,3.6,22,1807645,5818623,
GSM02927,6,02/11/2006,13:00:23,02/11/2006,14:00:23,3789039,911454,5032240,-2.5691665,36.5255355,81.36,2.4,3D,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.52,3.6,22,1807644,5818630,
GSM02927,7,02/11/2006,14:00:50,02/11/2006,15:00:50,3789049,911456,5032231,-2.5692884,36.5255297,80.44,1.4,3D,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.52,3.6,22,1807644,5818616,
GSM02927,8,02/11/2006,15:00:08,02/11/2006,16:00:08,3789044,911453,5032228,-2.5692652,36.525504,74.67,1.4,3D,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.52,3.6,21,1807642,5818619,
GSM02927,9,10/11/2006,20:01:36,10/11/2006,21:01:36,,,,-1.5692652,37.525504,,25.4,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.52,3.6,21,,,
GSM01512,1,30/06/2005,23:00:31,01/07/2005,00:00:31,3789032,911467,5032239,-2.5691451,36.5257454,78.27,1.8,3D,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.44,3.6,19,1807653,5818620,
GSM01512,2,01/07/2005,00:00:54,01/07/2005,01:00:54,3789034,911465,5032231,-2.5691995,36.52571,72.83,2.2,3D,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.44,3.6,18,1807651,5818614,
GSM01512,3,01/07/2005,04:00:54,01/07/2005,05:00:54,3789033,911461,5032220,-2.5692462,36.5256562,62.95,2.8,3D,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.44,3.6,16,1807648,5818608,
GSM01512,4,23/07/2005,12:01:42,23/07/2005,13:01:42,,,,-1.5692462,37.5256562,,25.4,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.44,3.6,22,,,
GSM01512,5,23/07/2005,16:03:10,23/07/2005,17:03:10,,,,-0.5692462,38.5256562,,25.4,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.44,3.6,20,,,
GSM01512,6,23/07/2005,20:01:42,23/07/2005,21:01:42,,,,0.4307538,39.5256562,,25.4,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.44,3.6,16,,,
GSM01512,7,24/07/2005,00:01:42,24/07/2005,01:01:42,,,,1.4307538,40.5256562,,25.4,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.44,3.6,14,,,
GSM01512,8,24/07/2005,04:01:42,24/07/2005,05:01:42,,,,2.4307538,41.5256562,,25.4,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.44,3.6,12,,,
GSM01512,9,24/07/2005,08:03:10,24/07/2005,09:03:10,,,,,,,25.4,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.44,3.6,13,,,
GSM01511,1,23/07/2005,12:03:04,23/07/2005,13:03:04,,,,,,,25.4,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.44,3.6,22,,,
GSM01511,2,23/07/2005,16:02:16,23/07/2005,17:02:16,4357163,849837,4566686,-3.9971395,34.0366186,1692.58,10,3D,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.44,3.6,20,1657722,5096402,
GSM01511,3,23/07/2005,20:01:51,23/07/2005,21:01:51,4356333,850745,4567297,-3.9891766,34.0501738,1687.14,2.4,2D,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.44,3.6,16,1658749,5097314,
GSM01511,4,24/07/2005,00:01:24,24/07/2005,01:01:24,4355909,850966,4567488,-3.9855647,34.054023,1564.98,3,3D,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.52,3.6,13,1659036,5097723,
GSM01511,5,24/07/2005,04:01:41,24/07/2005,05:01:41,4355898,850988,4567519,-3.9853285,34.054329,1582.72,11.8,3D,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.44,3.6,10,1659059,5097750,
GSM01511,6,24/07/2005,08:03:09,24/07/2005,09:03:09,,,,-2.9853285,35.054329,,25.4,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.44,3.6,13,,,
GSM01511,7,24/07/2005,12:01:41,24/07/2005,13:01:41,,,,-1.9853285,36.054329,,25.4,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.44,3.6,19,,,
GSM01511,8,30/07/2005,12:01:41,30/07/2005,13:01:41,,,,,,,25.4,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.44,3.6,24,,,
GSM01511,9,30/07/2005,16:03:13,30/07/2005,17:03:13,4357165,849420,4566690,-3.9966108,34.0313311,1641.39,13,3D,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.44,3.6,26,1657311,5096451,
GSM01511,10,30/07/2005,20:03:05,30/07/2005,21:03:05,,,,,,,25.4,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.44,3.6,21,,,
GSM01438,1,13/01/05,17:46:24,13/01/05,18:46:24,3789045,911462,5032226,-2.5692981,36.5256292,74.96,1.8,3D,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.44,3.6,20,1807646,5818602,
GSM01438,2,13/01/05,17:50:24,13/01/05,18:50:24,3789041,911460,5032225,-2.5692725,36.5256144,71.51,2.8,3D,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.44,3.6,16,1807645,5818605,
GSM01438,3,13/01/05,17:55:24,13/01/05,18:55:24,3789044,911461,5032237,-2.5692292,36.5256184,82.94,2.8,3D,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.44,3.6,7,1807645,5818610,
GSM01438,4,13/01/05,18:00:30,13/01/05,19:00:30,3789046,911463,5032233,-2.5692683,36.5256401,81.24,3,3D,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.44,3.6,-3,1807647,5818606,
GSM01438,5,13/01/05,18:05:25,13/01/05,19:05:25,3789042,911461,5032247,-2.5691606,36.5256253,89.68,2.4,3D,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.44,3.6,-10,1807645,5818618,
GSM01438,6,13/01/05,18:10:37,13/01/05,19:10:37,3789045,911459,5032237,-2.5692328,36.5255864,83.25,3,3D,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.44,3.6,-17,1807643,5818609,
GSM01438,7,13/01/05,18:15:37,13/01/05,19:15:37,3789036,911456,5032240,-2.569149,36.5255744,79.87,2.8,3D,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.44,3.6,-22,1807641,5818619,
GSM01438,8,13/01/05,18:21:25,13/01/05,19:21:25,3789043,911458,5032238,-2.5692118,36.5255789,82.72,3.4,3D,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.44,3.6,-24,1807642,5818612,
GSM01438,9,13/01/05,18:25:31,13/01/05,19:25:31,3789045,911460,5032238,-2.569229,36.5256007,84.19,3.2,3D,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.44,3.6,-27,1807644,5818610,
GSM01438,10,13/01/05,18:30:25,13/01/05,19:30:25,3789046,911464,5032237,-2.5692481,36.5256544,84.56,3,3D,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.44,3.6,-29,1807648,5818608,
GSM01438,11,13/01/05,19:01:17,13/01/05,20:01:17,3789040,911463,5032228,-2.5692542,36.5256607,73.72,1.8,2D,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.36,3.52,-35,1807648,5818607,
GSM01508,1,30/06/2005,21:00:31,30/06/2005,22:00:31,3789036,911466,5032236,-2.5691876,36.5257174,78.12,3,3D,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.44,3.6,20,1807651,5818615,
GSM01508,2,30/06/2005,22:00:36,30/06/2005,23:00:36,3789049,911464,5032295,-2.568951,36.5256441,132.31,3.8,3D,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.44,3.6,19,1807645,5818641,
GSM01508,3,30/06/2005,23:00:54,01/07/2005,00:00:54,3789048,911469,5032247,-2.5692154,36.525719,94.38,1.6,3D,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.44,3.6,19,1807652,5818612,
GSM01508,4,01/07/2005,00:00:47,01/07/2005,01:00:47,3789050,911467,5032251,-2.5692041,36.5256835,98.45,2.4,3D,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.44,3.6,19,1807649,5818613,
GSM01508,5,01/07/2005,04:00:54,01/07/2005,05:00:54,3789035,911465,5032234,-2.56919,36.5257065,75.8,1.4,3D,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.44,3.6,16,1807651,5818615,
GSM01508,6,23/07/2005,12:01:42,23/07/2005,13:01:42,,,,,,,25.4,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.44,3.6,23,,,
GSM01508,7,23/07/2005,16:03:48,23/07/2005,17:03:48,4355817,848271,4566005,-8.9909061,34.0201004,76.95,7,2D,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.44,3.6,21,1656425,5097056,
GSM01508,8,23/07/2005,20:01:40,23/07/2005,21:01:40,,,,-2.5692154,35.0201004,,25.4,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.44,3.6,20,,,
GSM01508,9,24/07/2005,00:01:40,24/07/2005,01:01:40,,,,-3.9855647,36.0201004,,25.4,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.44,3.6,16,,,
GSM01508,10,24/07/2005,04:03:08,24/07/2005,05:03:08,,,,-2.5692652,37.0201004,,25.4,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.44,3.6,14,,,
GSM01508,11,24/07/2005,08:03:08,24/07/2005,09:03:08,,,,,,,25.4,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.44,3.6,14,,,
